CategoryNum        mean             variance           SD           Smoothness       Skewness        Kurtosis       Uniformity       Entropy         Contrast      EntropyGLCM       Energy        Homogeneity 
 
        1      139.735884     2490.707208       49.906986        0.999599       -0.384490       -0.896902        0.006077        7.522542        1.509797        1.145482        0.505268        0.973039 

       1       90.305527     2684.459047       51.811766        0.999628        1.459538        1.703480        0.008801        7.208027        0.553426        0.672664        0.745210        0.990117 

       1      136.423914     2700.276550       51.964185        0.999630       -0.601071       -0.681574        0.006326        7.524655        1.907861        1.171237        0.505944        0.965931 

       1      155.934174     3108.558652       55.754450        0.999678       -0.606947       -0.678428        0.005886        7.620889        1.700902        1.084621        0.552534        0.969627 

       1      115.660733     3220.549730       56.749887        0.999690        0.106757       -1.279863        0.005833        7.599502        1.060259        1.144604        0.482851        0.981067 

       1      133.580138     4578.003712       67.660947        0.999782        0.117771       -1.513133        0.006070        7.607623        0.947287        1.136029        0.482160        0.983084 

       1      123.157045     2920.765158       54.044104        0.999658       -0.313229       -1.101343        0.006064        7.547660        1.735493        1.215428        0.469474        0.969009 

       1      125.336821     2861.849675       53.496259        0.999651       -0.299712       -1.114646        0.005853        7.561141        1.650307        1.205291        0.472290        0.970530 

       1       42.074198     2375.455811       48.738648        0.999579        2.692381        6.859154        0.015378        6.447179        0.268290        0.432278        0.853916        0.995209 

       1      136.190969     2351.061152       48.487742        0.999575       -0.591978       -0.594188        0.006591        7.448241        1.110661        1.100969        0.514746        0.980167 

       1      154.274743     2787.976095       52.801289        0.999641       -0.672412       -0.399783        0.006076        7.578514        1.768402        1.081821        0.556964        0.968421 

       1      123.644149     2490.345886       49.903365        0.999599       -0.355001       -0.930688        0.006192        7.504830        2.208911        1.258306        0.461453        0.960555 

       1      108.513071     4008.580844       63.313354        0.999751        0.395044       -1.067425        0.005413        7.754901        2.225283        1.214498        0.490677        0.960263 

       2      189.700742     2517.818684       50.177870        0.999603       -1.128834        0.602518        0.008480        7.276087        1.445186        0.759765        0.730609        0.974193 

       2      139.599299     3230.808753       56.840204        0.999691       -0.575165       -0.839132        0.006199        7.584721        1.899161        1.180407        0.499657        0.966086 

       2      166.305773     1772.235819       42.097931        0.999436       -1.052570        0.718145        0.008236        7.209876        1.104816        0.785430        0.705846        0.980271 

       2      175.420769     1719.491897       41.466757        0.999419       -0.926820        0.266570        0.008806        7.154612        1.409491        0.779584        0.719111        0.974831 

       2      140.151711     2204.878658       46.956135        0.999547       -0.623187       -0.437354        0.006840        7.421082        1.840256        1.158738        0.511202        0.967138 

       2      148.755115     2604.212670       51.031487        0.999616       -0.554468       -0.489758        0.006304        7.549364        1.516761        1.096218        0.537431        0.972915 

       2      167.929908     2356.702439       48.545880        0.999576       -0.996775       -0.014154        0.008686        7.238443        1.565395        0.939800        0.634892        0.972047 

       2      150.861029     2858.884297       53.468536        0.999650       -0.341375       -1.050302        0.006374        7.498638        1.835855        1.178719        0.498087        0.967217 

       2      160.929272     3630.095707       60.250276        0.999725       -0.429165       -1.154033        0.006791        7.499869        2.251761        1.192069        0.506048        0.959790 

       2      165.053231     2838.495200       53.277530        0.999648       -0.927051        0.372024        0.006516        7.535313        1.843891        1.006833        0.605269        0.967073 

       2      128.704030     2295.108398       47.907290        0.999564       -0.415863       -0.913860        0.006530        7.436719        1.501709        1.184786        0.478894        0.973184 

       2      157.655002     2594.890123       50.940064        0.999615       -0.550716       -0.908472        0.006867        7.405321        0.867067        0.992013        0.572396        0.984517 

       3      146.447553     3893.434105       62.397389        0.999743       -0.567465       -1.022707        0.005870        7.615700        0.752749        1.040963        0.534218        0.986558 

       3      132.295615     4765.301360       69.031162        0.999790       -0.148840       -1.441368        0.004940        7.769644        1.500021        1.192627        0.473565        0.973214 

       3       79.873794     2493.685386       49.936814        0.999599        0.382712       -1.063803        0.006439        7.420590        1.296765        0.944531        0.621845        0.976843 

       4      159.151851     3011.433236       54.876527        0.999668       -0.607951       -0.367167        0.006281        7.552079        1.572611        1.006322        0.595647        0.971918 

       4      148.194469     2350.809939       48.485152        0.999575       -0.559560       -0.096852        0.007426        7.400163        1.342208        1.001763        0.589038        0.976032 

       4      163.687750     2222.638044       47.144862        0.999550       -0.687040        0.361968        0.007100        7.435918        1.745850        0.924947        0.649542        0.968824 

       4      155.128184     2822.807349       53.130098        0.999646       -0.426528       -0.521344        0.006168        7.563359        1.000947        1.009290        0.568405        0.982126 

       4      164.467877     2400.999861       48.999999        0.999584       -0.880914        0.728364        0.007852        7.354456        1.403341        0.825034        0.694333        0.974940 

       4      173.893665     2410.060407       49.092366        0.999585       -0.749509       -0.150476        0.008069        7.264992        1.029844        0.853986        0.664138        0.981610 

